,unique_id,radius,pre_buf_r,pre_buf_x0,pre_ring_r,pre_ring_x0,post_buf_r,post_buf_x0,post_ring_r,post_ring_x0,total_ring_r,total_ring_x0,buff_diff_growth,ring_diff_growth,ring_buff_diff
42,CHN26,10000,0.09313768667,1.05E-74,0.076367681,2.55E-61,0.07639058026,2.86E-61,0.07208640026,6.83E-58,0.06846581509,6.29E-55,-0.01674710641,-0.004281280743,-0.01246582567
43,CHN28,10000,0.08124543892,1.39E-64,0.09056968243,3.30E-72,0.02192612367,2.03E-15,0.03802339691,4.26E-29,0.07664863827,5.18E-61,-0.05931931525,-0.05254628552,-0.006773029725
44,CHN3,10000,0.09165148593,1.02E-72,0.07579237375,4.15E-60,0.006563771323,0.03227829397,0.0122496365,3.67E-07,0.03450814594,3.70E-26,-0.08508771461,-0.06354273725,-0.02154497736
45,CHN31,10000,0.09036081984,4.24E-72,0.08232506822,6.59E-66,0.03204825296,3.35E-24,0.04942124312,5.60E-39,0.07198618148,1.44E-57,-0.05831256689,-0.0329038251,-0.02540874178
46,CHN33,10000,0.1206781943,7.35E-96,0.08029764201,5.37E-64,0.02141361668,4.56E-15,0.02460192698,7.18E-18,0.05678516019,6.80E-45,-0.09926457764,-0.05569571502,-0.04356886262
47,CHN36,10000,0.08935850888,5.25E-71,0.1181907584,4.61E-94,0.004654668939,1.442475111,0.02436576656,1.02E-17,0.07458309948,1.55E-59,-0.08470383994,-0.09382499182,0.009121151879
48,CHN37,10000,0.06776991339,1.31E-53,0.07498470738,1.68E-59,0.02013037789,6.65E-14,0.02245716786,6.59E-16,0.04466200751,1.14E-34,-0.04763953549,-0.05252753952,0.004888004024
49,CHN38,10000,0.1094077604,6.50E-87,0.1039705536,1.03E-82,0.01251500639,2.50E-07,0.01522571889,1.09E-09,0.06569692181,4.36E-52,-0.096892754,-0.0887448347,-0.008147919301
50,CHN39,10000,0.07781287393,8.36E-62,0.06181589997,7.24E-49,0.01353896219,2.89E-08,0.01742475222,1.22E-11,0.04477090977,8.14E-35,-0.06427391175,-0.04439114775,-0.019882764
51,CHN40,10000,0.09372605967,1.95E-74,0.08592984685,2.62E-68,0.01483052303,2.32E-09,0.01785199089,5.47E-12,0.04328779286,1.52E-33,-0.07889553663,-0.06807785595,-0.01081768068
52,CHN41,10000,0.05512664236,2.06E-43,0.04474012339,8.86E-35,0.02965337826,3.86E-22,0.02767771801,1.79E-20,0.03184303572,5.29E-24,-0.0254732641,-0.01706240539,-0.00841085871
53,CHN42,10000,0.06831968598,4.79E-54,0.05400310487,2.25E-42,0.01689083863,4.00E-11,0.01699361134,2.94E-11,0.03411396143,7.69E-26,-0.05142884734,-0.03700949354,-0.01441935381
54,CHN45,10000,0.0822915615,2.00E-65,0.07105069236,2.17E-56,0.01453204084,4.46E-09,0.01969813703,1.49E-13,0.05235944043,4.18E-41,-0.06775952066,-0.05135255534,-0.01640696532
55,CHN46,10000,0.1513779917,2.74E-119,0.08352461453,1.60E-66,0.01960780577,1.99E-13,0.03152847633,1.27E-23,0.06666098114,6.95E-53,-0.1317701859,-0.0519961382,-0.0797740477
56,CHN47,10000,0.06814703353,5.05E-54,0.03347952334,1.97E-25,0.03421287992,6.01E-26,0.03993953797,7.33E-31,0.03614339317,1.15E-27,-0.03393415361,0.006460014634,-0.04039416824
57,CHN49,10000,0.02217276876,1.12E-15,0.03590749357,2.26E-27,0.01809719606,3.33E-12,0.03311991542,4.75E-25,0.03132987989,1.57E-23,-0.004075572696,-0.002787578144,-0.001287994553
58,CHN50,10000,0.07337429738,1.79E-58,0.05330895716,5.40E-42,0.02150088386,2.96E-15,0.01299461411,5.04E-08,0.03130754356,1.12E-23,-0.05187341352,-0.04031434304,-0.01155907048
59,CHN51,10000,0.1052610904,8.71E-84,0.09131443065,5.31E-73,0.02785001241,1.32E-20,0.04497098333,3.12E-35,0.06522137378,5.36E-52,-0.07741107797,-0.04634344732,-0.03106763065
60,CHN53,10000,0.1242822024,1.36E-98,0.06624511311,1.27E-52,0.04578295503,1.07E-35,0.05982867298,2.13E-47,0.05882539485,1.44E-46,-0.07849924736,-0.006416440125,-0.07208280723
61,CHN55,10000,0.1161806419,1.61E-92,0.1092226239,4.75E-87,0.03919324651,3.43E-30,0.03202258324,3.61E-24,0.07871261941,7.72E-63,-0.07698739538,-0.07720004067,0.0002126452951
62,CHN57,10000,0.1266607033,1.76E-100,0.08689768938,3.60E-69,0.01991830287,9.50E-14,0.01782559033,5.76E-12,0.05613269052,3.01E-44,-0.1067424004,-0.06907209905,-0.03767030139
63,CHN58,10000,0.08724047381,3.07E-69,0.05599211376,4.52E-44,0.01970303212,1.67E-13,0.03178395028,6.85E-24,0.04199095062,1.73E-32,-0.0675374417,-0.02420816349,-0.04332927821
64,CHN6,10000,0.05884318275,3.36E-46,0.1029376841,8.55E-82,0.01049092872,1.46E-05,0.01984142663,1.20E-13,0.05269431891,2.43E-41,-0.04835225404,-0.08309625745,0.03474400341
65,CHN62,10000,0.05024204697,2.75E-39,0.07846297007,1.59E-62,0.004406359538,1.769473894,0.002826121308,28.59741196,0.03136052477,8.93E-24,-0.04583568743,-0.07563684876,0.02980116133
66,CHN64,10000,0.09085937327,1.64E-72,0.06847953035,1.15E-54,0.04410772059,2.53E-34,0.05326639956,4.24E-42,0.0717424032,2.68E-57,-0.04675165268,-0.01521313079,-0.03153852189
67,CHN8,10000,0.08465039676,1.83E-67,0.06540263055,4.02E-52,0.03321449555,3.54E-25,0.03043748327,4.98E-23,0.05233724048,2.11E-41,-0.05143590122,-0.03496514728,-0.01647075394
68,CIV2,10000,0.06798209821,1.33E-54,0.05681564167,7.34E-46,0.08703946468,4.45E-70,0.1197463551,2.21E-96,0.06694191366,3.61E-54,0.01905736647,0.06293071345,-0.04387334698
77,COL10,10000,0.004019497745,5.855083941,0.0007546564013,3699.086007,-0.001039435668,159217.5499,0.009141441178,0.0001938259881,0.00281957089,59.98740941,-0.005058933413,0.008386784777,-0.01344571819
